pipeline,nutrient,accuracy,macro_f1,weighted_f1,duration_s,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,reg_alpha,reg_lambda,skip_drop,subsample
Preprocessed,P,0.43137254901960786,0.4212121212121212,0.42245989304812837,26.44,0.5,0.01,3,100,0.3,1.0,1.0,0.5,0.6
Preprocessed,P,0.47058823529411764,0.4642648387268187,0.4654307442728406,26.58,0.5,0.01,3,100,0.3,1.0,1.0,0.5,0.7
Preprocessed,P,0.47058823529411764,0.4671814671814672,0.46945264592323416,27.59,0.5,0.01,3,100,0.3,1.0,1.0,0.5,0.8
Preprocessed,P,0.35294117647058826,0.2792894935752079,0.29571828731492594,26.53,0.5,0.01,3,100,0.3,1.0,5.0,0.5,0.6
Preprocessed,P,0.35294117647058826,0.2893617021276596,0.30638297872340425,26.81,0.5,0.01,3,100,0.3,1.0,5.0,0.5,0.7
Preprocessed,P,0.43137254901960786,0.4178568812715154,0.42282885467964376,27.05,0.5,0.01,3,100,0.3,1.0,5.0,0.5,0.8
Preprocessed,P,0.5294117647058824,0.5280337155337156,0.5234438984438984,63.65,0.5,0.01,3,150,0.1,0.1,1.0,0.5,0.6
Preprocessed,P,0.5686274509803921,0.5710784313725491,0.5679065743944637,63.54,0.5,0.01,3,150,0.1,0.1,1.0,0.5,0.7
Preprocessed,P,0.5686274509803921,0.5710784313725491,0.5679065743944637,64.22,0.5,0.01,3,150,0.1,0.1,1.0,0.5,0.8
Preprocessed,P,0.45098039215686275,0.4474206349206349,0.4485294117647058,63.22,0.5,0.01,3,150,0.1,0.1,5.0,0.5,0.6
Preprocessed,P,0.47058823529411764,0.46617826617826613,0.4683904330963154,69.22,0.5,0.01,3,150,0.1,0.1,5.0,0.5,0.7
Preprocessed,P,0.5294117647058824,0.5321811374942306,0.5293303125650487,64.19,0.5,0.01,3,150,0.1,0.1,5.0,0.5,0.8
Preprocessed,P,0.47058823529411764,0.4645241171403962,0.4657052743578051,62.99,0.5,0.01,3,150,0.1,1.0,1.0,0.5,0.6
Preprocessed,P,0.5490196078431373,0.5511904761904761,0.5468487394957983,63.67,0.5,0.01,3,150,0.1,1.0,1.0,0.5,0.7
Preprocessed,P,0.5490196078431373,0.5523136773136773,0.5480380112733054,64.18,0.5,0.01,3,150,0.1,1.0,1.0,0.5,0.8
Preprocessed,P,0.45098039215686275,0.4407051282051282,0.44400452488687786,63.19,0.5,0.01,3,150,0.1,1.0,5.0,0.5,0.6
Preprocessed,P,0.45098039215686275,0.4467787114845938,0.44784972812654467,63.75,0.5,0.01,3,150,0.1,1.0,5.0,0.5,0.7
Preprocessed,P,0.47058823529411764,0.4671814671814672,0.46945264592323416,63.96,0.5,0.01,3,150,0.1,1.0,5.0,0.5,0.8
Preprocessed,P,0.49019607843137253,0.4901320901320901,0.487590840532017,56.56,0.5,0.01,3,150,0.3,0.1,1.0,0.5,0.6
Preprocessed,P,0.5686274509803921,0.5710784313725491,0.5679065743944637,56.9,0.5,0.01,3,150,0.3,0.1,1.0,0.5,0.7
Preprocessed,P,0.5490196078431373,0.5523136773136773,0.5480380112733054,57.6,0.5,0.01,3,150,0.3,0.1,1.0,0.5,0.8
Preprocessed,P,0.47058823529411764,0.4645241171403962,0.4657052743578051,56.92,0.5,0.01,3,150,0.3,0.1,5.0,0.5,0.6
Preprocessed,P,0.47058823529411764,0.46617826617826613,0.4683904330963154,57.11,0.5,0.01,3,150,0.3,0.1,5.0,0.5,0.7
Preprocessed,P,0.5294117647058824,0.5321811374942306,0.5293303125650487,57.73,0.5,0.01,3,150,0.3,0.1,5.0,0.5,0.8
Preprocessed,P,0.45098039215686275,0.4474206349206349,0.4485294117647058,56.83,0.5,0.01,3,150,0.3,1.0,1.0,0.5,0.6
Preprocessed,P,0.5490196078431373,0.5511904761904761,0.5468487394957983,56.81,0.5,0.01,3,150,0.3,1.0,1.0,0.5,0.7
Preprocessed,P,0.5490196078431373,0.5523136773136773,0.5480380112733054,57.54,0.5,0.01,3,150,0.3,1.0,1.0,0.5,0.8
Preprocessed,P,0.45098039215686275,0.4414141414141414,0.44385026737967914,56.71,0.5,0.01,3,150,0.3,1.0,5.0,0.5,0.6
Preprocessed,P,0.45098039215686275,0.4467787114845938,0.44784972812654467,56.86,0.5,0.01,3,150,0.3,1.0,5.0,0.5,0.7
Preprocessed,P,0.47058823529411764,0.4671814671814672,0.46945264592323416,58.16,0.5,0.01,3,150,0.3,1.0,5.0,0.5,0.8
Preprocessed,P,0.3333333333333333,0.2722222222222222,0.28823529411764703,7.72,0.5,0.01,4,50,0.1,0.1,1.0,0.5,0.6
Preprocessed,P,0.37254901960784315,0.32449965493443755,0.33798562903422236,7.92,0.5,0.01,4,50,0.1,0.1,1.0,0.5,0.7
Preprocessed,P,0.39215686274509803,0.38376968061178585,0.3875208382948321,7.96,0.5,0.01,4,50,0.1,0.1,1.0,0.5,0.8
Preprocessed,P,0.3137254901960784,0.24612612612612614,0.26060413354531003,7.61,0.5,0.01,4,50,0.1,0.1,5.0,0.5,0.6
Preprocessed,P,0.3137254901960784,0.24432624113475176,0.25869837296620773,7.9,0.5,0.01,4,50,0.1,0.1,5.0,0.5,0.7
Preprocessed,P,0.3137254901960784,0.2492753623188406,0.2639386189258312,7.96,0.5,0.01,4,50,0.1,0.1,5.0,0.5,0.8
Preprocessed,P,0.3333333333333333,0.26279985678481915,0.2782586718898086,7.74,0.5,0.01,4,50,0.1,1.0,1.0,0.5,0.6
Preprocessed,P,0.3333333333333333,0.2710536623580102,0.28699799543789317,7.84,0.5,0.01,4,50,0.1,1.0,1.0,0.5,0.7
Preprocessed,P,0.3137254901960784,0.2518518518518518,0.2666666666666667,7.86,0.5,0.01,4,50,0.1,1.0,1.0,0.5,0.8
Preprocessed,P,0.19607843137254902,0.14705882352941177,0.15570934256055363,7.96,0.5,0.01,4,50,0.1,1.0,5.0,0.5,0.6
Preprocessed,P,0.27450980392156865,0.21009009009009008,0.22244833068362477,7.69,0.5,0.01,4,50,0.1,1.0,5.0,0.5,0.7
Preprocessed,P,0.3137254901960784,0.24465811965811968,0.25904977375565613,7.85,0.5,0.01,4,50,0.1,1.0,5.0,0.5,0.8
Preprocessed,P,0.3333333333333333,0.26914414414414417,0.28497615262321147,6.96,0.5,0.01,4,50,0.3,0.1,1.0,0.5,0.6
Preprocessed,P,0.3333333333333333,0.2709551656920078,0.2868937048503612,7.0,0.5,0.01,4,50,0.3,0.1,1.0,0.5,0.7
Preprocessed,P,0.3137254901960784,0.2518518518518518,0.2666666666666667,7.14,0.5,0.01,4,50,0.3,0.1,1.0,0.5,0.8
Preprocessed,P,0.3137254901960784,0.24465811965811968,0.25904977375565613,7.05,0.5,0.01,4,50,0.3,0.1,5.0,0.5,0.6
Preprocessed,P,0.3137254901960784,0.24432624113475176,0.25869837296620773,7.0,0.5,0.01,4,50,0.3,0.1,5.0,0.5,0.7
Preprocessed,P,0.29411764705882354,0.23014184397163118,0.2436795994993742,7.19,0.5,0.01,4,50,0.3,0.1,5.0,0.5,0.8
Preprocessed,P,0.3137254901960784,0.24612612612612614,0.26060413354531003,6.98,0.5,0.01,4,50,0.3,1.0,1.0,0.5,0.6
Preprocessed,P,0.3333333333333333,0.26169590643274854,0.2770897832817337,7.06,0.5,0.01,4,50,0.3,1.0,1.0,0.5,0.7
Preprocessed,P,0.3137254901960784,0.2492753623188406,0.2639386189258312,7.19,0.5,0.01,4,50,0.3,1.0,1.0,0.5,0.8
Preprocessed,P,0.1568627450980392,0.12072649572649574,0.12782805429864252,6.94,0.5,0.01,4,50,0.3,1.0,5.0,0.5,0.6
Preprocessed,P,0.19607843137254902,0.14786967418546365,0.15656789031402032,7.12,0.5,0.01,4,50,0.3,1.0,5.0,0.5,0.7
Preprocessed,P,0.23529411764705882,0.1826923076923077,0.1934389140271493,7.4,0.5,0.01,4,50,0.3,1.0,5.0,0.5,0.8
Preprocessed,P,0.45098039215686275,0.44687291028754444,0.44794946803555125,28.59,0.5,0.01,4,100,0.1,0.1,1.0,0.5,0.6
Preprocessed,P,0.5294117647058824,0.5311145246629118,0.5282009578024759,29.02,0.5,0.01,4,100,0.1,0.1,1.0,0.5,0.7
Preprocessed,P,0.5490196078431373,0.5523136773136773,0.5480380112733054,29.13,0.5,0.01,4,100,0.1,0.1,1.0,0.5,0.8
Preprocessed,P,0.43137254901960786,0.4212121212121212,0.42245989304812837,28.48,0.5,0.01,4,100,0.1,0.1,5.0,0.5,0.6
Preprocessed,P,0.45098039215686275,0.4467787114845938,0.44784972812654467,28.76,0.5,0.01,4,100,0.1,0.1,5.0,0.5,0.7
Preprocessed,P,0.47058823529411764,0.4671814671814672,0.46945264592323416,28.96,0.5,0.01,4,100,0.1,0.1,5.0,0.5,0.8
Preprocessed,P,0.45098039215686275,0.4411308709530324,0.4435503339502696,29.02,0.5,0.01,4,100,0.1,1.0,1.0,0.5,0.6
Preprocessed,P,0.47058823529411764,0.46617826617826613,0.4683904330963154,28.75,0.5,0.01,4,100,0.1,1.0,1.0,0.5,0.7
Preprocessed,P,0.47058823529411764,0.4671814671814672,0.46945264592323416,28.86,0.5,0.01,4,100,0.1,1.0,1.0,0.5,0.8
Preprocessed,P,0.3333333333333333,0.26706349206349206,0.2827731092436975,30.27,0.5,0.01,4,100,0.1,1.0,5.0,0.5,0.6
Preprocessed,P,0.4117647058823529,0.3869565217391304,0.3943734015345269,29.08,0.5,0.01,4,100,0.1,1.0,5.0,0.5,0.7
Preprocessed,P,0.45098039215686275,0.4441441441441441,0.4467408585055644,29.64,0.5,0.01,4,100,0.1,1.0,5.0,0.5,0.8
Preprocessed,P,0.45098039215686275,0.4480046761251926,0.4482141015181778,26.73,0.5,0.01,4,100,0.3,0.1,1.0,0.5,0.6
Preprocessed,P,0.5098039215686274,0.5103389103389103,0.5089862972215913,26.93,0.5,0.01,4,100,0.3,0.1,1.0,0.5,0.7
Preprocessed,P,0.5490196078431373,0.5523136773136773,0.5480380112733054,26.79,0.5,0.01,4,100,0.3,0.1,1.0,0.5,0.8
Preprocessed,P,0.43137254901960786,0.423202614379085,0.4235870818915801,26.75,0.5,0.01,4,100,0.3,0.1,5.0,0.5,0.6
Preprocessed,P,0.47058823529411764,0.46604127579737337,0.4663061472243682,26.78,0.5,0.01,4,100,0.3,0.1,5.0,0.5,0.7
Preprocessed,P,0.47058823529411764,0.4671814671814672,0.46945264592323416,26.8,0.5,0.01,4,100,0.3,0.1,5.0,0.5,0.8
Preprocessed,P,0.43137254901960786,0.4212121212121212,0.42245989304812837,26.6,0.5,0.01,4,100,0.3,1.0,1.0,0.5,0.6
Preprocessed,P,0.47058823529411764,0.4642648387268187,0.4654307442728406,26.85,0.5,0.01,4,100,0.3,1.0,1.0,0.5,0.7
