pipeline,nutrient,accuracy,macro_f1,weighted_f1,duration_s,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,reg_alpha,reg_lambda,skip_drop,subsample
Preprocessed,K,0.8235294117647058,0.8267857142857142,0.8202731092436975,57.52,0.5,0.01,3,150,0.3,0.1,1.0,0.5,0.8
Preprocessed,K,0.7647058823529411,0.7684587813620073,0.764326375711575,60.38,0.5,0.01,3,150,0.3,0.1,5.0,0.5,0.6
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,56.71,0.5,0.01,3,150,0.3,0.1,5.0,0.5,0.7
Preprocessed,K,0.803921568627451,0.8084826762246117,0.802909550917141,56.52,0.5,0.01,3,150,0.3,0.1,5.0,0.5,0.8
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,56.26,0.5,0.01,3,150,0.3,1.0,1.0,0.5,0.6
Preprocessed,K,0.7843137254901961,0.7869047619047619,0.7817226890756304,56.25,0.5,0.01,3,150,0.3,1.0,1.0,0.5,0.7
Preprocessed,K,0.803921568627451,0.8084826762246117,0.802909550917141,56.46,0.5,0.01,3,150,0.3,1.0,1.0,0.5,0.8
Preprocessed,K,0.7254901960784313,0.7296296296296297,0.7254901960784313,56.29,0.5,0.01,3,150,0.3,1.0,5.0,0.5,0.6
Preprocessed,K,0.7843137254901961,0.7889059566478922,0.7821812596006144,56.55,0.5,0.01,3,150,0.3,1.0,5.0,0.5,0.7
Preprocessed,K,0.803921568627451,0.8084826762246117,0.802909550917141,56.47,0.5,0.01,3,150,0.3,1.0,5.0,0.5,0.8
Preprocessed,K,0.6666666666666666,0.6726495726495726,0.6659987071751777,8.07,0.5,0.01,4,50,0.1,0.1,1.0,0.5,0.6
Preprocessed,K,0.7450980392156863,0.7513375444409927,0.7468523290024305,7.86,0.5,0.01,4,50,0.1,0.1,1.0,0.5,0.7
Preprocessed,K,0.803921568627451,0.814028314028314,0.807290483761072,8.04,0.5,0.01,4,50,0.1,0.1,1.0,0.5,0.8
Preprocessed,K,0.43137254901960786,0.34616079494128277,0.3665231946437112,7.71,0.5,0.01,4,50,0.1,0.1,5.0,0.5,0.6
Preprocessed,K,0.5098039215686274,0.4088793412101683,0.4329310671637076,8.02,0.5,0.01,4,50,0.1,0.1,5.0,0.5,0.7
Preprocessed,K,0.6078431372549019,0.5904761904761905,0.5957983193277311,7.71,0.5,0.01,4,50,0.1,0.1,5.0,0.5,0.8
Preprocessed,K,0.49019607843137253,0.4603174603174603,0.4697478991596638,7.83,0.5,0.01,4,50,0.1,1.0,1.0,0.5,0.6
Preprocessed,K,0.7058823529411765,0.7137907137907139,0.7105295340589459,7.89,0.5,0.01,4,50,0.1,1.0,1.0,0.5,0.7
Preprocessed,K,0.7254901960784313,0.7376068376068377,0.7312217194570136,7.79,0.5,0.01,4,50,0.1,1.0,1.0,0.5,0.8
Preprocessed,K,0.43137254901960786,0.34074074074074073,0.3607843137254902,7.57,0.5,0.01,4,50,0.1,1.0,5.0,0.5,0.6
Preprocessed,K,0.5098039215686274,0.4088793412101683,0.4329310671637076,7.85,0.5,0.01,4,50,0.1,1.0,5.0,0.5,0.7
Preprocessed,K,0.5098039215686274,0.40354609929078017,0.42728410513141424,7.85,0.5,0.01,4,50,0.1,1.0,5.0,0.5,0.8
Preprocessed,K,0.5882352941176471,0.5908108108108108,0.5879173290937997,6.98,0.5,0.01,4,50,0.3,0.1,1.0,0.5,0.6
Preprocessed,K,0.7058823529411765,0.7137907137907139,0.7105295340589459,6.91,0.5,0.01,4,50,0.3,0.1,1.0,0.5,0.7
Preprocessed,K,0.7450980392156863,0.7515969410706252,0.7487497023100738,7.13,0.5,0.01,4,50,0.3,0.1,1.0,0.5,0.8
Preprocessed,K,0.43137254901960786,0.34074074074074073,0.3607843137254902,6.77,0.5,0.01,4,50,0.3,0.1,5.0,0.5,0.6
Preprocessed,K,0.5098039215686274,0.4088793412101683,0.4329310671637076,7.45,0.5,0.01,4,50,0.3,0.1,5.0,0.5,0.7
Preprocessed,K,0.5098039215686274,0.40354609929078017,0.42728410513141424,7.14,0.5,0.01,4,50,0.3,0.1,5.0,0.5,0.8
Preprocessed,K,0.43137254901960786,0.35185185185185186,0.37254901960784315,7.51,0.5,0.01,4,50,0.3,1.0,1.0,0.5,0.6
Preprocessed,K,0.5098039215686274,0.4088793412101683,0.4329310671637076,7.09,0.5,0.01,4,50,0.3,1.0,1.0,0.5,0.7
Preprocessed,K,0.6470588235294118,0.6454545454545454,0.6459893048128342,7.36,0.5,0.01,4,50,0.3,1.0,1.0,0.5,0.8
Preprocessed,K,0.4117647058823529,0.32732414280664546,0.34657850414821284,6.91,0.5,0.01,4,50,0.3,1.0,5.0,0.5,0.6
